iter	RMSE
157	4.960864278
158	4.953726534
159	4.951818456
160	4.948802683
161	4.94336865
162	4.938902856
163	4.932448199
164	4.928892068
165	4.924551011
166	4.920391066
167	4.916409146
168	4.912908317
169	4.909783366
170	4.907314693
171	4.902500883
172	4.896716352
173	4.894840461
174	4.890318264
175	4.887855618
176	4.885105699
177	4.879207433
178	4.876471048
179	4.873575269
180	4.871956709
181	4.868371686
182	4.863971711
183	4.858690427
184	4.853478953
185	4.849595792
186	4.846663927
187	4.842850486
188	4.840809426
189	4.834497211
190	4.832115879
191	4.828264303
192	4.82499308
193	4.822885168
194	4.820051805
195	4.813419922
196	4.812328211
197	4.809095504
198	4.806499824
199	4.804698884
200	4.799853665
201	4.796133642
202	4.791424894
203	4.786820005
204	4.785389932
205	4.784121503
206	4.77908036
207	4.774957652
208	4.771900626
209	4.769190866
210	4.764948424
211	4.75983223
212	4.758538125
213	4.753033557
214	4.748037459
215	4.744499972
216	4.740033791
217	4.738219985
218	4.734253483
219	4.732616004
220	4.727951817
221	4.724357577
222	4.720765422
223	4.718598396
224	4.717962129
225	4.714490715
226	4.711826902
227	4.708798782
228	4.705680749
229	4.702117414
230	4.699123306
231	4.696130759
232	4.691971416
233	4.688499389
234	4.68420895
235	4.68114606
236	4.678595439
237	4.675367483
238	4.671273629
239	4.666649409
240	4.663474793
241	4.658594837
242	4.656329795
243	4.652086894
244	4.650115213
245	4.648183565
246	4.644730531
247	4.641707077
248	4.638097933
249	4.634473905
250	4.6284491
251	4.625456132
252	4.623192078
253	4.617548263
254	4.612533118
255	4.610128109
256	4.607656727
257	4.602573774
258	4.599129937
259	4.594127974
260	4.59129077
261	4.584546973
262	4.58278447
263	4.581451647
264	4.579901603
265	4.575929173
266	4.573463312
267	4.570505204
268	4.563817269
269	4.559551052
270	4.55354715
271	4.550988968
272	4.548145746
273	4.545874153
274	4.542326643
275	4.539323514
276	4.532545243
277	4.531899601
278	4.528133424
279	4.523470435
280	4.519738348
281	4.515182411
282	4.509635813
283	4.507277238
284	4.502805724
285	4.497605914
286	4.492743384
287	4.489278454
288	4.485903006
289	4.482439826
290	4.478678789
291	4.477525584
292	4.472347867
293	4.468670344
294	4.46128166
295	4.458129583
296	4.454117503
297	4.448580421
298	4.444027902
299	4.437603961
300	4.435183797
301	4.434102255
302	4.430775215
303	4.42894982
304	4.425269976
305	4.423442366
306	4.423013954
307	4.4207638
308	4.414417676
309	4.409331812
310	4.406643792
311	4.402661273
312	4.397463894
313	4.394286746
314	4.386895399
315	4.381490087
316	4.379271768
317	4.374131004
318	4.373744229
319	4.371438792
320	4.367346329
321	4.365551648
322	4.361958591
323	4.360322077
324	4.358903472
325	4.356445997
326	4.355939135
327	4.351732918
328	4.346974067
329	4.344195849
330	4.340889618
331	4.337779964
332	4.33534375
333	4.331857311
334	4.329505665
335	4.325155322
336	4.320978334
337	4.317997036
338	4.316673963
339	4.310201641
340	4.305791143
341	4.301833757
342	4.295893205
343	4.29426746
344	4.290722171
345	4.288686912
346	4.286830671
347	4.284877514
348	4.279851812
349	4.278861677
350	4.276274556
351	4.274882197
352	4.271680752
353	4.267175193
354	4.261716457
355	4.256800527
356	4.253065368
357	4.248766776
358	4.24792773
359	4.244005923
360	4.239392564
361	4.235272512
362	4.233609932
363	4.227799074
364	4.222740206
365	4.221175958
366	4.217846666
367	4.215377176
368	4.212559843
369	4.209280491
370	4.205353495
371	4.205043375
372	4.201889397
373	4.200487475
374	4.196067611
375	4.193003367
376	4.190739536
377	4.185950932
378	4.180789423
379	4.177353125
380	4.175169491
381	4.170138466
382	4.168208085
383	4.164644457
384	4.159117541
385	4.152992099
386	4.150895359
387	4.147016505
388	4.144164819
389	4.140343601
390	4.136680908
391	4.133462102
392	4.131041447
393	4.127782741
394	4.124052494
395	4.122191504
396	4.11805262
397	4.117224003
398	4.114132725
399	4.113035312
400	4.110300685
401	4.109157382
402	4.106884229
403	4.106618416
404	4.103142128
405	4.100229484
406	4.097333664
407	4.094425655
408	4.090932986
409	4.087220159
410	4.086604591
411	4.08567839
412	4.085037414
413	4.082513742
414	4.078059087
415	4.075481633
416	4.073101657
417	4.071094288
418	4.066914372
419	4.064275878
420	4.060756915
421	4.056173142
422	4.053103171
423	4.049384879
424	4.047849863
425	4.04701313
426	4.044556044
427	4.041976467
428	4.038832807
429	4.036079881
430	4.033625415
431	4.030038875
432	4.026207101
433	4.023496644
434	4.021225454
435	4.01706709
436	4.015692009
437	4.012609829
438	4.010525016
439	4.008124469
440	4.006210271
441	4.00445164
442	4.001092498
443	3.999543709
444	3.995987757
445	3.993623045
446	3.990997266
447	3.986931288
448	3.985535103
449	3.981015875
450	3.976861518
451	3.97359276
452	3.972424486
453	3.970554796
454	3.967053082
455	3.96430601
456	3.961836593
457	3.958974788
458	3.956321609
459	3.95312621
460	3.951595463
461	3.94915486
462	3.946834073
463	3.944783783
464	3.941714074
465	3.939636402
466	3.936138479
467	3.933425699
468	3.930091361
469	3.928034579
470	3.924868284
471	3.921940383
472	3.919915895
473	3.915699772
474	3.914355164
475	3.911983739
476	3.910324355
477	3.908237418
478	3.907493857
479	3.904013538
480	3.902774359
481	3.899821592
482	3.897502904
483	3.894634044
484	3.894213771
485	3.8923784
486	3.890623264
487	3.887860696
488	3.88520785
489	3.881891921
490	3.877340687
491	3.876666129
492	3.872360956
493	3.869026082
494	3.868099059
495	3.863916634
496	3.861600039
497	3.859797524
498	3.855821893
499	3.851639012
500	3.848065851
501	3.845603024
502	3.842969745
503	3.841331397
504	3.838756054
505	3.838341401
506	3.834689893
507	3.831474878
508	3.828382315
509	3.828309852
510	3.826989417
511	3.825778945
512	3.82434235
513	3.821566135
514	3.817070782
515	3.813819175
516	3.810568939
517	3.809745723
518	3.806404021
519	3.804392923
520	3.802434402
521	3.800545467
522	3.798197294
523	3.797242351
524	3.793805355
525	3.790764366
526	3.786788686
527	3.78421479
528	3.783923898
529	3.781555073
530	3.779478822
531	3.775372516
532	3.773065904
533	3.771758185
534	3.77013432
535	3.769928429
536	3.769767131
537	3.768561763
538	3.766743574
539	3.762664731
540	3.761513304
541	3.759998327
542	3.756467876
543	3.754083211
544	3.751854748
545	3.749898804
546	3.748682377
547	3.745860657
548	3.742455423
549	3.737995691
550	3.737245043
551	3.735271282
552	3.731703062
553	3.730513268
554	3.72957842
555	3.725993738
556	3.725872398
557	3.723957804
558	3.72180775
559	3.718795609
560	3.717443987
561	3.715404303
562	3.712848366
563	3.712649619
564	3.708957356
565	3.708479352
566	3.70570129
567	3.704464125
568	3.702371999
569	3.701544625
570	3.698762912
571	3.696069892
572	3.691627623
573	3.691005734
574	3.690207478
575	3.687419582
576	3.68487723
577	3.681787315
578	3.680617238
579	3.677568611
580	3.674624888
581	3.67325228
582	3.670224413
583	3.669353968
584	3.667388862
585	3.663667448
586	3.660113834
587	3.65895119
588	3.655137003
589	3.653905136
590	3.652024219
591	3.649332854
592	3.646850908
593	3.644893892
594	3.643471279
595	3.641025499
596	3.636995465
597	3.633181715
598	3.632063349
599	3.630814738
600	3.627033416
601	3.623833738
602	3.6234044
603	3.62314141
604	3.621202116
605	3.619598305
606	3.616558652
607	3.615040525
608	3.614401931
609	3.613268553
610	3.6110882
611	3.609316378
612	3.605569042
613	3.601439375
614	3.600252478
615	3.597868645
616	3.59415548
617	3.592905309
618	3.591498076
619	3.588904999
620	3.587655085
621	3.585275723
622	3.581727471
623	3.579295139
624	3.578641179
625	3.575580593
626	3.573878548
627	3.570467897
628	3.570230501
629	3.568858253
630	3.565942259
631	3.564509655
632	3.56310061
633	3.562493428
634	3.559124384
635	3.558809116
636	3.555264803
637	3.553355315
638	3.552808567
639	3.550726038
640	3.548208068
641	3.546484421
642	3.544219176
643	3.542314781
644	3.540687922
645	3.538729747
646	3.537408029
647	3.535296913
648	3.534380289
649	3.531877171
650	3.529261865
651	3.52828357
652	3.525059676
653	3.523966187
654	3.522105326
655	3.51931578
656	3.516227424
657	3.51490356
658	3.514847598
659	3.51350455
660	3.511509211
661	3.509194688
662	3.507118952
663	3.506642439
664	3.504177116
665	3.503192625
666	3.501495178
667	3.499115886
668	3.497928151
669	3.496844063
670	3.49559798
671	3.492695945
672	3.490013535
673	3.488362019
674	3.486911892
675	3.48542097
676	3.483562655
677	3.483348898
678	3.483120586
679	3.480596012
680	3.477659316
681	3.477229662
682	3.477031211
683	3.474674558
684	3.472662432
685	3.469486489
686	3.466807456
687	3.464037527
688	3.461715522
689	3.460186037
690	3.457827384
691	3.455110498
692	3.452367965
693	3.45062313
694	3.44945294
695	3.447257937
696	3.445685145
697	3.44453179
698	3.440746299
699	3.437780332
700	3.434523665
701	3.432785911
702	3.431794194
703	3.431446666
704	3.429480686
705	3.427607456
706	3.427295042
707	3.427218831
708	3.425387219
709	3.424429128
710	3.422550956
711	3.421381975
712	3.420742051
713	3.420691948
714	3.4187872
715	3.415583779
716	3.414010912
717	3.412047722
718	3.409946113
719	3.407901468
720	3.407043662
721	3.403964818
722	3.403769633
723	3.403647217
724	3.401772157
725	3.399954092
726	3.399023496
727	3.39825057
728	3.397866151
729	3.394878955
730	3.392431223
731	3.390637185
732	3.387533347
733	3.385709757
734	3.384555622
735	3.384106354
736	3.382262323
737	3.379566456
738	3.37948516
739	3.378443158
740	3.376607009
741	3.375336728
742	3.372893445
743	3.372852195
744	3.371142461
745	3.369870977
746	3.369601104
747	3.366255523
748	3.363961502
749	3.361456693
750	3.360752523
751	3.35762778
752	3.355034231
753	3.35212465
754	3.352024285
755	3.349917859
756	3.348325227
757	3.345983054
758	3.345090994
759	3.342639741
760	3.341806957
761	3.340433728
762	3.338585752
763	3.336100006
764	3.333588393
765	3.331413984
766	3.330459626
767	3.328341414
768	3.324962085
769	3.322464003
770	3.320040756
771	3.318354238
772	3.316294974
773	3.314736295
774	3.314517641
775	3.313672498
776	3.31149668
777	3.30838443
778	3.305578986
779	3.303485741
780	3.302444384
781	3.301446842
782	3.299771156
783	3.298666715
784	3.296128812
785	3.295182273
786	3.292933185
787	3.292129533
788	3.289875062
789	3.287488942
790	3.284320519
791	3.281522693
792	3.278588312
793	3.277039031
794	3.275330283
795	3.273611431
796	3.271218913
797	3.270491577
798	3.269314306
799	3.267572118
800	3.265578836
801	3.264153917
802	3.260370787
803	3.257481465
804	3.254420519
805	3.253689312
806	3.25207358
807	3.24997376
808	3.248559898
809	3.24690441
810	3.245089415
811	3.242817176
812	3.242406857
813	3.240896802
814	3.238444751
815	3.236299169
816	3.234562647
817	3.23432491
818	3.233115957
819	3.231070504
820	3.229986161
821	3.22749963
822	3.226936391
823	3.225982205
824	3.223566096
825	3.222420788
826	3.220829276
827	3.220736975
828	3.220010756
829	3.219772362
830	3.218566156
831	3.216996423
832	3.216846741
833	3.215466697
834	3.212978226
835	3.212698666
836	3.211144341
837	3.209596469
838	3.208361754
839	3.206978378
840	3.205331158
841	3.203784704
842	3.20246811
843	3.200393473
844	3.200195137
845	3.198032808
846	3.198001465
847	3.19699704
848	3.195183501
849	3.192809077
850	3.191413208
851	3.189958459
852	3.188550545
853	3.185985055
854	3.184214718
855	3.183715149
856	3.181082373
857	3.180248682
858	3.177996198
859	3.177031267
860	3.175198077
861	3.172722758
862	3.170961151
863	3.169532311
864	3.168896111
865	3.168742979
866	3.167830277
867	3.164590295
868	3.163425816
869	3.162325624
870	3.161085292
871	3.160265408
872	3.158729713
873	3.155860324
874	3.155368628
875	3.154238019
876	3.154153265
877	3.153847545
878	3.152923652
879	3.15277166
880	3.150213609
881	3.147806764
882	3.145449312
883	3.143716358
884	3.143146014
885	3.142464103
886	3.141348595
887	3.140745836
888	3.137839861
889	3.137147259
890	3.135852779
891	3.134606431
892	3.132497571
893	3.131447139
894	3.129205562
895	3.126727176
896	3.124317911
897	3.124078541
898	3.121938624
899	3.119253369
900	3.117662317
901	3.116733721
902	3.116289406
903	3.1161159
904	3.11420393
905	3.11300909
906	3.112041403
907	3.110596409
908	3.108854064
909	3.107336116
910	3.106586255
911	3.106364652
912	3.104794541
913	3.103712613
914	3.101655034
915	3.100216158
916	3.098122218
917	3.096187492
918	3.093044582
919	3.091973725
920	3.090072988
921	3.089298799
922	3.087568588
923	3.085877264
924	3.084978284
925	3.08384475
926	3.082263017
927	3.079923707
928	3.079517758
929	3.076561955
930	3.075044316
931	3.07407848
932	3.073225041
933	3.07314949
934	3.071783478
935	3.070400099
936	3.069377407
937	3.06817303
938	3.066849138
939	3.066169064
940	3.064319083
941	3.063322432
942	3.06092586
943	3.059630421
944	3.059397576
945	3.058620539
946	3.057800294
947	3.056010502
948	3.054270905
949	3.05276241
950	3.050922537
951	3.049340505
952	3.047595709
953	3.046182738
954	3.043762299
955	3.042393587
956	3.04071553
957	3.039561999
958	3.039195829
959	3.037943462
960	3.036121581
961	3.033872474
962	3.032223142
963	3.030780912
964	3.029277655
965	3.028354814
966	3.026491453
967	3.025684741
968	3.024221933
969	3.020213295
970	3.01923674
971	3.018923992
972	3.017133427
973	3.016577025
974	3.01566346
975	3.015128073
976	3.014234364
977	3.013057846
978	3.012043892
979	3.01117492
980	3.010291331
981	3.009507698
982	3.006761016
983	3.006191029
984	3.005966219
985	3.003876852
986	3.00223202
987	3.00187083
988	3.000516383
989	3.000261202
990	2.998980406
991	2.997398007
992	2.995081249
993	2.993792761
994	2.990361927
995	2.989504695
996	2.988421375
997	2.987246393
998	2.986027929
999	2.984447582
